id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
246938,Scandinavian-apt for up to 5. LES,2019-11-07,Manhattan,Lower East Side,89.0,10.0,9.0,40.718759999999996,-73.98850999999999,Apartment,Entire home/apt,5,1,2,0,154.0,0.0,125.0,1,1,44,2019-11-07,2.71,262,320,0
251277,Private Bdrm /Bath 1 block Ctrl Prk,2019-11-18,Manhattan,Upper West Side,99.0,10.0,10.0,40.785579999999996,-73.9726,Apartment,Private room,1,2,1,0,140.0,0.0,30.0,1,2,47,2019-11-18,2.0,196,336,0
253590,Large 1 Bedroom furnished on UWS,2019-12-01,Manhattan,Upper West Side,95.0,10.0,9.0,40.797709999999995,-73.96323000000001,Apartment,Entire home/apt,2,1,1,0,185.0,1000.0,130.0,2,2,12,2019-12-01,0.29,22,84,0
274062,Beautiful Room Near Central Park!,2019-11-17,Manhattan,Harlem,99.0,10.0,10.0,40.80285,-73.95166,Apartment,Private room,2,1,1,0,99.0,0.0,25.0,1,2,29,2019-11-17,1.04,69,44,0
281851,Beautiful Private Bedroom - Downstairs,2019-11-26,Manhattan,Harlem,98.0,10.0,10.0,40.806709999999995,-73.95082,House,Private room,2,0,1,0,130.0,0.0,0.0,1,1,43,2019-11-26,2.5,125,346,0
301034,Furnished Bedroom with private half bath,2019-11-22,Manhattan,Harlem,98.0,10.0,10.0,40.80637,-73.95433,Condominium,Private room,1,1,1,0,140.0,250.0,65.0,1,2,19,2019-11-22,0.57,54,343,0
333323,Cozy bedroom near Times Square,2019-11-30,Manhattan,Hell's Kitchen,94.0,10.0,9.0,40.76186,-73.99165,Apartment,Private room,1,1,1,0,75.0,125.0,50.0,1,2,39,2019-11-30,2.22,135,343,0
334781,Queen size sofa bed in Harlem,2019-11-29,Manhattan,Harlem,97.0,10.0,10.0,40.82772,-73.93876999999999,Apartment,Private room,2,1,1,0,80.0,150.0,60.0,1,1,17,2019-11-29,0.33,25,343,0
342995,Unique private room and bathroom in Brownstone,2019-10-31,Manhattan,Harlem,95.0,9.0,9.0,40.811690000000006,-73.94355,Apartment,Private room,3,1,1,0,75.0,0.0,40.0,2,2,20,2019-10-31,0.94,87,147,0
369671,LUXURY 2BD/2BTH - HUGE PATIO,2019-11-30,Manhattan,East Village,94.0,10.0,9.0,40.72899,-73.97792,Apartment,Entire home/apt,4,2,2,0,549.0,0.0,150.0,4,2,35,2019-11-30,0.79,74,98,0
393016,Your Times Square Sanctuary,2019-11-17,Manhattan,Hell's Kitchen,92.0,10.0,9.0,40.76013,-73.99006999999999,Apartment,Private room,2,1,1,0,104.0,400.0,50.0,1,2,16,2019-11-17,1.53,143,234,0
424767,"Chic, Spacious Loft + Backyard",2019-11-17,Manhattan,Midtown,99.0,10.0,10.0,40.74406,-73.98273,Loft,Entire home/apt,4,1,0,1200,325.0,0.0,100.0,2,2,33,2019-11-17,2.29,212,220,0
436619,"Tranquil, Artsy, Sunny Bedroom",2019-11-23,Manhattan,East Village,96.0,10.0,10.0,40.72507,-73.98861,Apartment,Private room,2,1,1,750,110.0,350.0,65.0,1,2,26,2019-11-23,0.93,83,255,0
436824,Room in Harlem,2019-10-14,Manhattan,Harlem,95.0,10.0,9.0,40.827259999999995,-73.9444,Apartment,Private room,2,1,1,0,70.0,0.0,0.0,1,1,4,2019-10-14,0.3,18,349,0
449130,Your Own Private Entrance Studio in Stylish Duplex,2019-11-28,Manhattan,Harlem,98.0,10.0,10.0,40.8179,-73.94319,Apartment,Private room,4,1,1,0,94.0,0.0,10.0,2,1,71,2019-11-28,1.3,120,53,0
454929,UNION SQUARE❤️PENTHOUSE 2FL+TERRACE❤️EAST VIllAGE,2019-10-21,Manhattan,East Village,97.0,10.0,9.0,40.72981,-73.98318,Apartment,Entire home/apt,2,1,2,900,239.0,0.0,99.0,2,2,19,2019-10-21,1.3,72,72,0
456190,"West Village Loft, 1st floor",2019-11-22,Manhattan,West Village,92.0,10.0,9.0,40.73357,-74.00723,House,Entire home/apt,2,1,1,0,174.0,247.0,97.0,2,2,49,2019-11-22,3.18,288,167,0
460036,Great DEAL Gramercy 1 BDROOM /2beds,2019-11-11,Manhattan,Kips Bay,80.0,9.0,8.0,40.74134,-73.98113000000001,Apartment,Entire home/apt,4,1,1,0,129.0,250.0,50.0,2,2,8,2019-11-11,0.54,49,107,0
481022,Super Cute Junior 1BR in LES!!,2019-11-16,Manhattan,Lower East Side,89.0,10.0,9.0,40.7195,-73.98021999999999,Apartment,Entire home/apt,2,1,1,0,125.0,0.0,60.0,1,1,71,2019-11-16,3.42,292,274,0
483485,Downtown Full Floor Loft,2019-12-04,Manhattan,Civic Center,97.0,10.0,9.0,40.71164,-74.00774,Apartment,Entire home/apt,8,1,2,0,218.0,0.0,125.0,8,2,67,2019-12-04,3.89,348,106,0
493177,Two Bridges District Chinatown NYC,2019-11-20,Manhattan,Chinatown,90.0,10.0,9.0,40.71668,-73.99073,Apartment,Entire home/apt,2,1,1,0,150.0,500.0,110.0,1,2,39,2019-11-20,1.95,174,221,0
494823,Cozy Near Columbia,2019-11-12,Manhattan,Morningside Heights,88.0,9.0,9.0,40.80271,-73.95888000000001,Apartment,Entire home/apt,3,1,1,0,120.0,100.0,25.0,2,1,10,2019-11-12,0.73,67,167,0
510218,Upper West Side 1-Bedroom,2019-11-17,Manhattan,Upper West Side,92.0,10.0,9.0,40.79218,-73.97926,Apartment,Entire home/apt,2,1,1,700,185.0,300.0,100.0,2,2,39,2019-11-17,2.01,183,307,0
512022,"Sunny, Clean, Minimal, Modern Apt",2019-12-04,Manhattan,East Village,94.0,9.0,9.0,40.7221,-73.98244,Apartment,Entire home/apt,2,1,1,0,200.0,500.0,150.0,1,2,4,2019-12-04,0.29,26,76,0
525523,Comfortable Private Room in Upper Manhattan 2BR,2019-12-01,Manhattan,East Harlem,94.0,9.0,9.0,40.80762,-73.94017,Apartment,Private room,2,1,1,132,50.0,500.0,75.0,1,2,19,2019-12-01,1.14,35,71,0
538344,East Village Oasis!  1Bd Apt,2019-11-21,Manhattan,East Village,94.0,10.0,9.0,40.729240000000004,-73.98113000000001,Condominium,Entire home/apt,4,1,1,0,195.0,0.0,95.0,1,2,36,2019-11-21,2.38,177,89,0
