id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,2019-11-10,Manhattan,East Village,99.0,10.0,9.0,40.72533,-73.99143,Loft,Entire home/apt,3,1,2,0,395.0,300.0,120.0,1,2,22.0,2019-11-10,0.79,79,150,147
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,2019-11-14,Manhattan,East Village,87.0,10.0,9.0,40.72939,-73.98857,Apartment,Entire home/apt,9,2,2,1100,189.0,400.0,115.0,3,2,84.0,2019-11-14,4.18,432,201,92
128975,City Room - Street View Apt,2019-10-24,Manhattan,Harlem,93.0,9.0,9.0,40.81333,-73.94453,Apartment,Entire home/apt,5,1,1,700,122.0,200.0,75.0,2,1,15.0,2019-10-24,1.18,122,344,65
148825,Best City Area Columbia U Upper West Side C Park,2019-11-16,Manhattan,Upper West Side,94.0,10.0,10.0,40.79765,-73.96245,Apartment,Entire home/apt,4,1,2,0,150.0,200.0,75.0,2,2,40.0,2019-11-16,2.24,208,317,37
152263,Cozy apartment in a brownstone,2019-11-17,Manhattan,Harlem,96.0,10.0,10.0,40.80497,-73.95016,Apartment,Entire home/apt,8,1,2,0,300.0,0.0,100.0,1,2,43.0,2019-11-17,2.22,222,288,77
159913,"Chelsea living, 2BR best location",2019-10-25,Manhattan,Chelsea,97.0,10.0,10.0,40.74346,-73.99882,Apartment,Private room,2,1,1,0,150.0,100.0,0.0,2,2,26.0,2019-10-25,1.83,47,344,284
160994,In the heart of East Village,2019-11-26,Manhattan,East Village,97.0,10.0,9.0,40.72972,-73.97995,Apartment,Entire home/apt,2,1,1,600,200.0,200.0,50.0,1,2,17.0,2019-11-26,1.13,113,97,168
163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 5 ☆,2019-12-02,Manhattan,East Village,80.0,10.0,9.0,40.72636,-73.98917,Apartment,Entire home/apt,5,1,1,550,99.0,100.0,81.0,1,2,53.0,2019-12-02,3.03,306,295,55
173742,"Elegant 2-BR duplex, Union Square",2019-11-11,Manhattan,Gramercy,94.0,10.0,9.0,40.73476,-73.98452,Apartment,Entire home/apt,5,2,2,0,400.0,500.0,120.0,2,2,12.0,2019-11-11,1.12,110,332,45
179741,Spring st SoHo Apartment,2019-10-27,Manhattan,Nolita,98.0,10.0,9.0,40.72133,-73.99666,Apartment,Entire home/apt,6,1,2,700,300.0,0.0,100.0,1,1,7.0,2019-10-27,0.1,10,71,104
181972,Gorgeous Entire Manhattan Townhouse,2019-11-29,Manhattan,Harlem,94.0,10.0,10.0,40.8296,-73.94651,Townhouse,Entire home/apt,8,2,5,0,199.0,0.0,75.0,1,2,26.0,2019-11-29,1.26,126,44,93
189135,Hell's Kitchen Funky 80's Hideaway!,2019-12-01,Manhattan,Hell's Kitchen,93.0,10.0,9.0,40.76311,-73.99388,Apartment,Private room,3,1,1,0,99.0,0.0,0.0,1,1,22.0,2019-12-01,1.03,97,358,32
197753,Large room in elevator drman bldg,2019-11-22,Manhattan,Harlem,94.0,9.0,10.0,40.83127,-73.94718,Apartment,Private room,3,1,1,0,68.0,0.0,20.0,2,2,40.0,2019-11-22,3.9,315,249,62
